Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Шея ЦБ (фас.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Грудинка без крыльев вес (охл),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Четвертина ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",ЦБ 1 кат. монолит,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Крыло ЦБ (монолит),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ (монолит)0207145009
",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,0 – 1,1 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,1 – 1,2 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,2 – 1,3 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Лапы ЦБ вес. (зам),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Лапы ЦБ монолит,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,1 - 1,2 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,2 - 1,3 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе задней четвертины ЦБ (зам),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Филе задней четвертины ЦБ (охл.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ (монолит Э) градации 1,2-1,3 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,6 - 1,7 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Мясо ЦБ мех. Обвалки,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Лапки цыплят бройлеров,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",Головы цыплят бройлеров,Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""",ЦБ 1 кат. вес (зам.),Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,3 - 1,4 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,4 - 1,5 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,5 - 1,6 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ 1 кат. (фас) (1,7 - 1,8 кг)",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,3 – 1,4 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,4 – 1,5 кг",Срок действия истек
KZ EA 2 107 00003,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","ЦБ монолит градации 1,5 – 1,6 кг",Срок действия истек
